Time,Price
2016/11/19,9.73 
2016/11/18,9.52 
2016/11/17,9.99 
2016/11/16,10.02 
2016/11/15,10.27 
2016/11/14,10.00 
2016/11/13,10.08 
2016/11/12,10.01 
2016/11/11,10.27 
2016/11/10,10.54 
2016/11/9,10.72 
2016/11/8,10.92 
2016/11/7,10.88 
2016/11/6,10.91 
2016/11/5,11.17 
2016/11/4,11.21 
2016/11/3,10.86 
2016/11/2,10.86 
2016/11/1,10.81 
2016/10/31,10.96 
2016/10/30,11.28 
2016/10/29,10.38 
2016/10/28,11.15 
2016/10/27,11.57 
2016/10/26,11.50 
2016/10/25,11.36 
2016/10/24,11.99 
2016/10/23,12.07 
2016/10/22,12.29 
2016/10/21,12.16 
2016/10/20,12.09 
2016/10/19,11.99 
2016/10/18,12.54 
2016/10/17,12.00 
2016/10/16,11.98 
2016/10/15,12.01 
2016/10/14,11.93 
2016/10/13,12.07 
2016/10/12,11.72 
2016/10/11,11.78 
2016/10/10,11.73 
2016/10/9,12.01 
2016/10/8,12.26 
2016/10/7,12.69 
2016/10/6,12.84 
2016/10/5,13.11 
2016/10/4,13.33 
2016/10/3,13.44 
2016/10/2,13.16 
2016/10/1,13.18 
2016/9/30,13.30 
2016/9/29,13.10 
2016/9/28,13.25 
2016/9/27,13.08 
2016/9/26,12.90 
2016/9/25,13.05 
2016/9/24,12.86 
2016/9/23,13.36 
2016/9/22,13.17 
2016/9/21,13.74 
2016/9/20,14.45 
2016/9/19,12.90 
2016/9/18,12.32 
2016/9/17,12.80 
2016/9/16,12.68 
2016/9/15,12.01 
2016/9/14,11.94 
2016/9/13,12.01 
2016/9/12,12.00 
2016/9/11,11.68 
2016/9/10,12.13 
2016/9/9,11.68 
2016/9/8,11.45 
2016/9/7,11.64 
2016/9/6,11.73 
2016/9/5,11.85 
2016/9/4,11.73 
2016/9/3,12.01 
2016/9/2,12.13 
2016/9/1,12.22 
2016/8/31,11.63 
2016/8/30,11.29 
2016/8/29,10.93 
2016/8/28,10.94 
2016/8/27,11.20 
2016/8/26,11.22 
2016/8/25,11.39 
2016/8/24,10.98 
2016/8/23,10.99 
2016/8/22,11.14 
2016/8/21,11.13 
2016/8/20,11.26 
2016/8/19,10.68 
2016/8/18,10.69 
2016/8/17,10.72 
2016/8/16,11.07 
2016/8/15,11.09 
2016/8/14,11.16 
2016/8/13,11.48 
2016/8/12,11.67 
2016/8/11,11.64 
2016/8/10,12.07 
2016/8/9,10.16 
2016/8/8,10.16 
2016/8/7,10.16 
2016/8/6,10.16 
2016/8/5,10.16 
2016/8/4,10.16 
2016/8/3,10.16 
2016/8/2,10.16 
2016/8/1,11.08 
2016/7/31,11.86 
2016/7/30,12.52 
2016/7/29,12.90 
2016/7/28,12.87 
2016/7/27,13.03 
2016/7/26,12.01 
2016/7/25,13.80 
2016/7/24,12.65 
2016/7/23,14.25 
2016/7/22,14.67 
2016/7/21,12.55 
2016/7/20,12.48 
2016/7/19,11.75 
2016/7/18,11.04 
2016/7/17,11.24 
2016/7/16,11.72 
2016/7/15,11.93 
2016/7/14,11.60 
2016/7/13,10.47 
2016/7/12,10.55 
2016/7/11,10.51 
2016/7/10,10.95 
2016/7/9,10.90 
2016/7/8,11.31 
2016/7/7,10.14 
2016/7/6,10.55 
2016/7/5,10.53 
2016/7/4,11.42 
2016/7/3,11.78 
2016/7/2,12.14 
2016/7/1,12.35 
2016/6/30,12.50 
2016/6/29,12.77 
2016/6/28,12.22 
2016/6/27,13.96 
2016/6/26,13.75 
2016/6/25,14.31 
2016/6/24,14.29 
2016/6/23,13.75 
2016/6/22,13.25 
2016/6/21,12.94 
2016/6/20,11.90 
2016/6/19,12.43 
2016/6/18,11.41 
2016/6/17,15.61 
2016/6/16,20.70 
2016/6/15,18.45 
2016/6/14,18.73 
2016/6/13,17.73 
2016/6/12,15.80 
2016/6/11,14.15 
2016/6/10,13.97 
2016/6/9,14.45 
2016/6/8,14.49 
2016/6/7,14.50 
2016/6/6,14.03 
2016/6/5,13.95 
2016/6/4,13.81 
2016/6/3,13.84 
2016/6/2,13.80 
2016/6/1,13.85 
2016/5/31,14.01 
2016/5/30,12.72 
2016/5/29,12.41 
2016/5/28,11.98 
2016/5/27,11.12 
2016/5/26,12.48 
2016/5/25,12.49 
2016/5/24,12.73 
2016/5/23,13.42 
2016/5/22,14.21 
2016/5/21,14.00 
2016/5/20,13.79 
2016/5/19,14.58 
2016/5/18,13.35 
2016/5/17,12.08 
2016/5/16,11.09 
2016/5/15,9.97 
2016/5/14,10.16 
2016/5/13,10.60 
2016/5/12,10.04 
2016/5/11,9.89 
2016/5/10,9.38 
2016/5/9,9.32 
2016/5/8,9.50 
2016/5/7,9.35 
2016/5/6,9.35 
2016/5/5,9.79 
2016/5/4,9.46 
2016/5/3,9.34 
2016/5/2,10.00 
2016/5/1,8.75 
2016/4/30,8.87 
2016/4/29,7.52 
2016/4/28,7.33 
2016/4/27,7.80 
2016/4/26,7.50 
2016/4/25,7.54 
2016/4/24,8.10 
2016/4/23,8.46 
2016/4/22,7.97 
2016/4/21,8.11 
2016/4/20,8.61 
2016/4/19,8.71 
2016/4/18,8.97 
2016/4/17,9.46 
2016/4/16,8.54 
2016/4/15,8.32 
2016/4/14,8.46 
2016/4/13,8.09 
2016/4/12,7.53 
2016/4/11,8.68 
2016/4/10,8.76 
2016/4/9,9.15 
2016/4/8,9.71 
2016/4/7,10.12 
2016/4/6,10.76 
2016/4/5,10.40 
2016/4/4,11.15 
2016/4/3,11.75 
2016/4/2,11.61 
2016/4/1,11.62 
2016/3/31,11.41 
2016/3/30,11.85 
2016/3/29,11.79 
2016/3/28,11.62 
2016/3/27,10.40 
2016/3/26,11.00 
2016/3/25,10.67 
2016/3/24,11.20 
2016/3/23,12.43 
2016/3/22,11.37 
2016/3/21,11.95 
2016/3/20,10.18 
2016/3/19,10.31 
2016/3/18,10.74 
2016/3/17,10.74 
2016/3/16,12.88 
2016/3/15,13.06 
2016/3/14,12.50 
2016/3/13,15.07 
2016/3/12,12.92 
2016/3/11,11.95 
2016/3/10,11.75 
